stateCode,districtName,policeStationName,contactNumber,email
AP,krishna,Mylavaram Police Station,"08659 222333, 9440796447",dcpvsp@appolice.gov.in
AP,krishna,Nagayalanka Police Station,"08671 274333, 9440796469",sprr@appolice.gov.in
AP,krishna,Nandivada Police Station,"08678 275233, 9440796457",spmbnr@appolice.gov.in
AP,krishna,Koduru Police Station,"08671 276333, 9440796468",adcptf1@appolice.gov.in
AP,krishna,Kanchikacherla Police Station,"08678 274333, 9440796460",adcpopr@appolice.gov.in
AP,krishna,Nuzvid Rural police Station,"08674 238233, 9440796429",spnlg@appolice.gov.in
AP,krishna,Nuzvid Town Police Station,"08656 232433, 9440796440",spnzb@appolice.gov.in
AP,krishna,Pamarru Police Station,"08656 232733, 9440796439",spmdk@appolice.gov.in
AP,krishna,Pendana Police Station,"08674 253333, 9440796431",spwrl@appolice.gov.in
AP,krishna,Penuganchiprolu Police Station,"08672 248333, 9440796418",spkm@appolice.gov.in
AP,krishna,Reddigudem Police Station,"08654 283233, 9440796463",spknr@appolice.gov.in
AP,krishna,Vatchvai Police Station,"08654 282233, 9440796464",spcud@appolice.gov.in
AP,krishna,Veeravalli Police Station,"08656 221033, 9440796445",spatp@appolice.gov.in
AP,krishna,Veerulapadu Police Station,"08678 286233, 9440796458",spctr@appolice.gov.in
AP,krishna,Vissannapapet Police Station,"08673 272233, 9440796453",spgtr@appolice.gov.in
AP,Anantapur,Agili Police Station,08493 284833,spprk@appolice.gov.in
AP,krishna,Tiruvuru police Station,"08673 252033, 9440796452",spkur@appolice.gov.in
AP,Anantapur,Amadagur Police Station,08498 243633,spwg@appolice.gov.in
AP,Anantapur,Amarapuram Police Station,"08493 280433, 9440901881",speg@appolice.gov.in
AP,Anantapur,Anantapur I Town Police Station,"08554 274033, 9440796805",spkri@appolice.gov.in
AP,Anantapur,Anantapur Ii Town Police Station,"08554 274333, 9440796815",spvzm@appolice.gov.in
AP,krishna,Robertsonpet Police Station,"08672 223344, 9440796411",spadb@appolice.gov.in
AP,Anantapur,ananthapur Police Station,"08554 274833, 9440796809",spskl@appolice.gov.in
AP,Anantapur,Bathalapalli Police Station,"08559 242433, 9440796833",srpsec@appolice.gov.in
AP,Anantapur,Belugappa Police Station,"08497 239233, 9440901863",adsprr@appolice.gov.in
AP,Anantapur,BK Samudram Police Station,9440796816,srpgtl@appolice.gov.in
AP,Anantapur,Anantapur Rural Police Staion,"08554 274333, 9440796815",spvspr@appolice.gov.in
AP,Anantapur,Bammanaha I Police Station,"08495 258733, 9440901871",adspmbnr@appolice.gov.in
AP,Anantapur,Bramhasamudram Police Station,08492 288833,adspnlg@appolice.gov.in
AP,Anantapur,Bukkapatnam Police Station,"08555 282133, 9440901875",adspnzb@appolice.gov.in
AP,Anantapur,CK Palli Police Station,"08559 240333, 9440796836",adspmdk@appolice.gov.in
AP,Anantapur,Ccs anantapur Police Station,"08554 240111, 9440901857",adspkm@appolice.gov.in
AP,Anantapur,Atmakur Police Station,"08554 250233, 9440901858",srpvza@appolice.gov.in
AP,Anantapur,Gandlapenta Police Station,08494 259333,adspcud@appolice.gov.in
AP,Anantapur,Garladinne Police Station,9440796813,adspatp@appolice.gov.in
AP,Anantapur,Dharmaram Police Station,"08559 222333, 9440901873",adspadb@appolice.gov.in
AP,Anantapur,Chelamathur Police Station,"08556 242133, 9440901877",adspadb@appolice.gov.in
AP,Anantapur,Gooty Police Station,"08552 252333, 9440901892",adspatp@appolice.gov.in
AP,Anantapur,Gorantla Police Station,"08556 235433, 9440901876",adspctr@appolice.gov.in
AP,Anantapur,Gudiand Police Station,08493 285033,adspgtr@appolice.gov.in
AP,Anantapur,Gummagatta Police Station,08495 236733,adspgtr@appolice.gov.in
AP,Anantapur,D Hirehal Pollice Station,"08495 238433, 9440901872",adspknr@appolice.gov.in
AP,Anantapur,Guntakal I Town Police Station,"08552 226833, 9440796822",adspprk@appolice.gov.in
AP,Anantapur,Gontakal Rural Police Station,"08552 226833, 9440796823",adspwg@appolice.gov.in
AP,Anantapur,Hjindupur Police Station,"08556 220633, 9440796847",adspeg@appolice.gov.in
AP,Anantapur,Itikalapalli police Station,"08554 255333, 9440901859",adspkri@appolice.gov.in
AP,Anantapur,Kadiri Rural Rural Police Station,"08494 224733, 9440901882",adspvpr@appolice.gov.in
AP,Anantapur,Kadiri Town Police Station,"08494 224733, 9440901882",adspvzm@appolice.gov.in
AP,Anantapur,Kanekal Police Station,"08495 257133, 9440901870",
AP,Anantapur,Kalyanadurg Police Station,"08497 220033, 9440796819",adspsk@appolice.gov.in
AP,Anantapur,Kanaganapalli Police Station,"08491 248333, 9440901874",
AP,Anantapur,Kothacheruvu Police Station,"08555 280633, 9440796838",
AP,Anantapur,Kuderu Police Station,"08554 258533, 9440796814",
AP,Anantapur,Kundurpi Policr Station,08492 283033,
AP,Anantapur,Lepakshi Policre Station,"08556 240433, 9440901878",
AP,Anantapur,Madakasira Police Station,"08493 288533, 9440901880",
AP,Anantapur,Kambadur Police Station,"08492 280333, 9440901862",
AP,Anantapur,Kasapuram Police Station,"08552 227533, 9440901865",
AP,Anantapur,Nallamada Police Station,08494 257533,
AP,Anantapur,NP Kunta Police Station,"08494 259533, 9440901885",
AP,Anantapur,Nalla cheruvu Police Station,"08498 253333, 9440901903",
AP,Anantapur,Narpala Police Station,"08498 253333, 9440901903",
AP,Anantapur,OD cheruvu Police Station,"08494 258833, 9440901887",
AP,Anantapur,Palthur Police Station,08496 258033,
AP,Anantapur,Pamidi Police Station,"08552 245333, 9440796827",
AP,Anantapur,Mudigubba Police Station,"08494 256633, 9440901886",
AP,Anantapur,Parigi Police Station,"08552 245333, 9440796827",
AP,Anantapur,Peddavadugur Police Station,"08552 243733, 9440796826",
AP,Anantapur,Pothukunta Police Station,"08559 222233, 9440796834",
AP,Anantapur,Pulthur Police Station,"08550 276133, 9440901890",
AP,Anantapur,Penukonda Police Station,"08555 220333, 9440796842",
AP,Anantapur,Puttaparthy Air port  Police Station,9440901896,
AP,Anantapur,Puttaparthy Police Station,08555 288833,
AP,Anantapur,puttaparthy Rural Police Station,,
AP,Anantapur,Ramagiri Police Station,08491 249333,
AP,Anantapur,Rapthadu Police Station,,
AP,Anantapur,Patnam Police Station,"08552 245333, 9440796827",
AP,Anantapur,Peddapappur Police Station,"08558 282033, 9440901891",
AP,Anantapur,Rayadurg Police Station,"08495 252033, 9440901869",
AP,Anantapur,Settur Police Station,08493 289133,
AP,Anantapur,Singanamala Police Station,9440901860,
AP,Anantapur,Somandepalli Police Station,"08555 226133, 9440796843",
AP,Anantapur,Roddam Police Station,"08555 285733, 9440901902",
AP,Anantapur,Talupula Police Station,"08494 250833, 9440901883",
AP,Anantapur,Tanakal Police Station,"08498 232333, 9440901884",
AP,Anantapur,Rolla Police Station,08493 289133,
AP,Anantapur,Taipatri Police Station,"08558 222433, 9440796863",
AP,Anantapur,Uravakonda Police Station,"08496 257033, 9440901866",
AP,Anantapur,Vajarakarur Police Station,"08496 259133, 9440901867",
AP,Anantapur,Vidapanakal Police Station,"08496 249433, 9440901868",
AP,Anantapur,Yadiki Police Station,"08558 270333, 9440901894",
AP,Anantapur,Yellanur Police Station,"08558 279133, 9440901889",
AP,Anantapur,Tadimarri Police Station,08559 246633,
AP,Chittoor,Alipiri Police Station,0877 2289013,
AP,Chittoor,Bhakarapet Police Station,08584 243033,
AP,Chittoor,Bangarupalyam Police Station,08573 280233,
AP,Chittoor,BN Kandriga Police Station,08578 227333,
AP,Chittoor,Chandragiri Police Station,0877 2289020,
AP,Chittoor,Chittoor I  Police Station,08572 232333,
AP,Chittoor,Chittoor Ii Police Station,08572 234222,
AP,Chittoor,Chittoor Taluk Police Station,08572 231435,
AP,Chittoor,B Kothakota Police Station,08545 226233,
AP,Chittoor,Baireddipalli Police Station,08545 226233,
AP,Chittoor,Chittoor Traffic Police Station,08572 231571,
AP,Chittoor,Chowdepalli Police Station,08581 256233,
AP,Chittoor,G D Nellore Police Station,08572 273433,
AP,Chittoor,Gudipala Police Station,08572 257733,
AP,Chittoor,Gudupalli Police Station,08570 278233,
AP,Chittoor,Gurramkonda Police Station,08586 250033,
AP,Chittoor,Gajulamandyam Police Station,0877 2289024,
AP,Chittoor,Irala Police Station,08573 284534,
AP,Chittoor,K Nagar Police Station,08577 287233,
AP,Chittoor,K V Palli Police Station,08584 282633,
AP,Chittoor,Kalakada Police Station,08586 25853,
AP,Chittoor,Kalikiri Police Station,08586 257633,
AP,Chittoor,Gaangavaram Police Station,08573 252490,
AP,Chittoor,Kallur Police Station,08585 247233,
AP,Chittoor,Mr Palli Police Station,0877 2289014,
AP,Chittoor,Mudivudu Police Station,08571 271033,
AP,Chittoor,N R Per Police Station,08572 253633,
AP,Chittoor,Nagalapuram Police Station,08537 270233,
AP,Chittoor,Madanapalli Police Station,08571 222208,
AP,Chittoor,Nagiri Police Station,08577 235333,
AP,Chittoor,Narayanavanam Police Station,08577 221333,
AP,Chittoor,Kuppam Police Station,08570 255133,
AP,Chittoor,Kvb puram Police Station,08578 284933,
AP,Chittoor,Nimmanapalli Police Station,08571 287733,
AP,Chittoor,Nindra Police Station,08577 280333,
AP,Chittoor,P T M Police Station,08582 250433,
AP,Chittoor,Palamaner Police Station,08579 252333,
AP,Chittoor,Pakala Police Station,08585 222033,
AP,Chittoor,Panjani Police Station,08579 254433,
AP,Chittoor,Peddamandyam Police Station,08582 286533,
AP,Chittoor,Piler Police Station,08584 244233,
AP,Chittoor,Pichatur Police Station,08576 271078,
AP,Chittoor,Punganur Police Station,08581 253033,
AP,Chittoor,Penumur Police Station,08572 277533,
AP,Chittoor,Putulapattu Police Station,08572 270033,
AP,Chittoor,Puttur Police Station,08577 222333,
AP,Chittoor,Rallabudugur Police Station,08570 259833,
AP,Chittoor,Ramachndrapuram Police Station,08577 2247733,
AP,Chittoor,Palasamudram Police Station,08572 278833,
AP,Chittoor,Ramakuppam Police Station,08587 279333,
AP,Chittoor,Ramasamudram Police Station,08581 276533,
AP,Chittoor,S R puram Police Station,08577 273133,
AP,Chittoor,Renigunta Police Station,0877 2289023,
AP,Chittoor,Sodam Police Station,08583 247233,
AP,Chittoor,Somala Police Station,08583 246433,
AP,Chittoor,Svu Compus Police Station,0877 2289009,
AP,Chittoor,Thambalapalli Police Station,08571 283133,
AP,Chittoor,Thavanampalli Police Station,08572 284133,
AP,Chittoor,Sathyavedu Police Station,08576 226733,
AP,Chittoor,Rompicherlal Police Station,08584 288233,
AP,Chittoor,Thottembedu Police Station,08578 222633,
AP,Chittoor,Tiruchanur Police Station,0877 2289027,
AP,Chittoor,Tirumala I Police Station,0877 2289027,
AP,Chittoor,Tirupathi East Police Station,0877 2289006,
AP,Chittoor,Tirumala Ii Police Station,0877 2289031,
AP,Chittoor,Tirupathi West Police Station,0877 2289008,
AP,Chittoor,Vedurukuppam police Station,08577 284433,
AP,Chittoor,V Kota Police Station,08570 257133,
AP,Chittoor,Vijayapuram Police Station,08577 284433,
AP,Chittoor,Voyalapad Police Station,08586 272233,
AP,Chittoor,Y V Palem Police Station,08584 271933,
AP,Chittoor,Yadamari Police Station,08572 256033,
AP,Cudappah,Atlur Police Station,08569 278733,
AP,Chittoor,Yerpedu Police Station,08578 287533,
AP,Chittoor,Vadamalapeta Police Station,08577 289433,
AP,Cudappah,B Kodur Police Station,08569 286633,
AP,Cudappah,B Mattam Police Station,08569 286033,
AP,Chittoor,Varadaiahpalem Police Station,08576 275533,
AP,Cudappah,Badvel Rural Police Station,08569 284208,
AP,Cudappah,Chakayapet Police Station,08567 234633,
AP,Cudappah,Chapadu Pollice Station,08564 278033,
AP,Cudappah,Chennur Police Station,08562 235133,
AP,Cudappah,Chinna Chowk Police Station,08562 245200,
AP,Cudappah,Chinnamanadem Police Station,08561 244033,
AP,Cudappah,C K Dinne Police Station,08562 231233,
AP,Cudappah,Duvvur Police Station,08564 238133,
AP,Cudappah,Galiveedu Police Station,08567 233233,
AP,Cudappah,Kadapa I Tn Police Station,08562 242133,
AP,Cudappah,Kadapa Ii Tn Police Station,08562 241387,
AP,Cudappah,Kadapa Taluk police Station,08562 242132,
AP,Cudappah,Kadapa Traffic Police Station,08562 244966,
AP,Cudappah,Kalamala Police Station,08563 232233,
AP,Cudappah,Khajiepet Police Station,08562 238633,
AP,Cudappah,Kalasapadu Police Station,08569 286433,
AP,Cudappah,Kodur Police Station,08566 244033,
AP,Cudappah,Kondapuram Police Station,08560 274233,
AP,Cudappah,Chitvel Police Station,08566 240233,
AP,Cudappah,Lakkireddipalli Police Station,08567 234033,
AP,Cudappah,Muddanur Police Station,08568 279233,
AP,Cudappah,Mylavaram police Station,08560 273433,
AP,Cudappah,Nandalur Police Station,08565 243033,
AP,Cudappah,Obulavaripalli Police Station,08566 256033,
AP,Cudappah,Peddamudium Police Station,08560 277733,
AP,Cudappah,Penagalur Police Station,08565 255433,
AP,Cudappah,Mannur Police Station,08565 240433,
AP,Cudappah,Pendlimarry Police Station,08562 233033,
AP,Cudappah,Proddatur Ii Town Police Station,08564 257333,
AP,Cudappah,Proddatur Taluk Police Station,08564 256333,
AP,Cudappah,Proddatur Traffic Police Station,08564 253333,
AP,Cudappah,Pulivendula Police Station,08568 226133,
AP,Cudappah,Lingala Police Station,08568 238533,
AP,Cudappah,Rajapalem Police Station,08564 230033,
AP,Cudappah,Pullampet Police Station,08566 257033,
AP,Cudappah,Sambepalli Police Station,08561 242433,
AP,Cudappah,Sidhout Police Station,08589 272033,
AP,Cudappah,Simhadripuram police Station,08568 235433,
AP,Cudappah,Ramapuram Police Station,08567 238033,
AP,Cudappah,Thalamanchipatnam Police Station,08560 272433,
AP,Cudappah,Rayachoty Police Station,08561 251033,
AP,Cudappah,Thallaproddutur Police Station,08560 273233,
AP,Cudappah,Tsundupalli Police Station,08561 248633,
AP,Cudappah,Vallur Police Station,08562 236433,
AP,Cudappah,Veetaballi Police Station,08561 243433,
AP,Cudappah,Vempalli Police Station,08588 281233,
AP,Cudappah,Vemula Police Station,08588 282433,
AP,Cudappah,Vontimitta Police Station,08589 274033,
AP,Cudappah,yerraguntla Police Station,08563 275233,
AP,East Godavari,Addateegala Police Station,"08865 272433, 9440900769",
AP,East Godavari,Alamuru Police Station,"08855 278433, 9440904849",
AP,East Godavari,Amalapuram Tn Police Station,"08856 231033, 9440796561",
AP,East Godavari,Allavaram Police Station,08856 259433,
AP,East Godavari,Amalapuram Tq Police Station,"08856 231066, 9440796562",
AP,East Godavari,Angara Police Station,"08855 225433, 9440900770",
AP,East Godavari,Ambajipeta Police Station,"08856 243233, 9440796563",
AP,East Godavari,Annavaram Police Station,"08868 238133, 9440796571",
AP,East Godavari,Atreyapuram Police Station,"08855 271433, 9440904839",
AP,East Godavari,Biccavole Police Station,"08857 236433, 9440904851",
AP,Cudappah,Thondur Police Station,08568 238333,
AP,East Godavari,Bommuru Police Station,"0883 2434173, 9440796588",
AP,East Godavari,Ccs Rajahmundry Police Station,"0883 2468050, 9440796534",
AP,East Godavari,Corangi Police Station,"0884 2303533, 9440796558",
AP,East Godavari,Devipatnam Police Station,"08864 244633, 9440900763",
AP,East Godavari,Donkarai Police Station,08863 222433,
AP,East Godavari,Dewleswaram Police Station,"0883 2417433, 9440796586",
AP,East Godavari,Draksharam Police Station,"08857 252433, 9440904850",
AP,East Godavari,Eleswaram Police Station,"08868 224033, 9440904835",
AP,East Godavari,Gandepalli Police Station,"08852 237733, 9440904841",
AP,East Godavari,Gangavaram Police Station,"08865 273233, 9440900767",
AP,East Godavari,I Polavaram Police Station,"08856 278388, 9440796540",
AP,East Godavari,Gokavaram Police Station,"0883 2455533, 9440904830",
AP,East Godavari,I Town Ccs Kakinada Police Station,094407 96549,
AP,East Godavari,I Town Ccs Rajahmundry Police Station,094407 96578,
AP,East Godavari,I Town Rajahmundry Police Station,"0883 2471033, 9440796574",
AP,East Godavari,Ii Town Ccs Kakinada Police Station,094407 96550,
AP,East Godavari,Ii Town Ccs Rajamundry Police Station,094407 96579,
AP,East Godavari,Ii Town Rajamundry Police Station,"0883 2421133, 9440796576",
AP,East Godavari,Iii Town Ccs Kakinada Police Station,094407 96551,
AP,East Godavari,Iii Town Cca Rajamundry Police Station,"0883 2471043, 9440796577",
AP,East Godavari,Inavilli Police Station,"08856 225533, 9440904856",
AP,East Godavari,Indrapalem Police Station,"0884 2363037, 9440796555",
AP,East Godavari,Gollaprole Police Station,"8869 231333, 9440900758",
AP,East Godavari,Jaddangi Police Station,"08865 278233, 9440900766",
AP,East Godavari,Kadiam Police Station,"0883 2453333, 9440796587",
AP,East Godavari,Karapa Police Station,"0884 2394833, 9440796557",
AP,East Godavari,Katrenikona Police Station,"08856 285133, 9440900774",
AP,East Godavari,Gollapalem Police Station,"0884 2335233, 9440796559",
AP,East Godavari,Kirlampudi Police Station,"08868 226633, 9440904834",
AP,East Godavari,Kotananduru Police Station,"08854 278333, 9440900773",
AP,East Godavari,Mandapeta Rural Police Station,"08855 230435, 9440796592",
AP,East Godavari,Maredumilli Police Station,08864 244733,
AP,East Godavari,Mummudivaram Police Station,"08856 271033, 9440796564",
AP,East Godavari,nagaram Police Station,"08856 238033, 9440904853",
AP,East Godavari,P Gannavaram Police Station,"08856 289433, 9440904838",
AP,East Godavari,Pamarru Police Station,"08857 255033, 9440904848",
AP,East Godavari,Pedapudi Police Station,"0883 2312033, 9440904840",
AP,East Godavari,Peddapuram Police Station,"08852 241333, 9440904846",
AP,East Godavari,Pithapuram Police Station,"08869 251333, 9440796560",
AP,East Godavari,Kothapeta Police Station,"08855 243333, 9440904842",
AP,East Godavari,Prathipadu Police Station,"08868 246733, 9440796570",
AP,East Godavari,Malkipuram Police Station,"08856 226333, 9440904837",
AP,East Godavari,R Chodavaram Police Station,"08864 243533, 9440900762",
AP,East Godavari,R Traffic Rajahmundry Police Station,094407 96585,
AP,East Godavari,Rajanagaram Police Station,"0883 2484333, 9440904836",
AP,East Godavari,Rajavommangi Police Station,"08865 275533, 9440900765",
AP,East Godavari,Rangampeta Police Station,"08852 246233, 9440904854",
AP,East Godavari,Rayavaram Police Station,"08857 235333, 9440904843",
AP,East Godavari,Sakhinetipalli Police Station,"08856 244333, 9440796566",
AP,East Godavari,Samalkot Police Station,"0884 2327333, 9440796568",
AP,East Godavari,Sarpavaram Police Staion,"0884 2379287, 9440796554",
AP,East Godavari,Thondangi Police Station,"08854 248833, 9440904847",
AP,East Godavari,Traffic Kakinada Police Station,"0884 2371273, 9440796524",
AP,East Godavari,Tuni Rural Police Station,"08854 253777, 9440796573",
AP,East Godavari,Traffic Rajahmundry Police Station,"0883 2442953, 9440796535",
AP,East Godavari,Tuni Town Police Station,"08854 253333, 9440796572",
AP,East Godavari,U Kothapalli Police Station,"08869 245333, 9440900752",
AP,East Godavari,Uppalaguptam Police Statin,"08856 283433, 9440904852",
AP,East Godavari,Y Ramavaram Police Station,08865 224033,
AP,East Godavari,Seethanagaram Police Station,"0883 2458833, 9440904832",
AP,Guntur,Adavuladevi Police station,08648 276133,
AP,Guntur,Amaravathi Police Station,08645 255333,
AP,Guntur,Amarthalur Police Station,08644 255233,
AP,East Godavari,Thimmapuram Police Station,"0884 2306332, 9440796556",
AP,Guntur,Arundl Police Station,0863 2231955,
AP,Guntur,Arundelpet Police Station,0863 2231955,
AP,Guntur,Atchampet Police Station,08640 246033,
AP,Guntur,Bapatla Rural Police Station,08643 224033,
AP,Guntur,Bandlamottu Police Station,08646 278124,
AP,Guntur,Bapatla Tn Police Station,08643 224036,
AP,Guntur,Bellamkonda Police Station,08641 238733,
AP,Guntur,C H Palle Police Station,08648 247233,
AP,Guntur,C H Pet Rural Police Station,08647 254909,
AP,Guntur,Chandole Police Station,08643 255233,
AP,Guntur,Chebrole Police Station,08644 254233,
AP,Guntur,Dgl Police Station,08644 277233,
AP,Guntur,Dachepalli Police Station,08649 257733,
AP,Guntur,Durgi Police Station,08642 256833,
AP,Guntur,Guntur Rural Police Station,0863 2230612,
AP,Guntur,Inavole Police Station,,
AP,Guntur,Gurajala police Station,08649 248433,
AP,Guntur,Ipur Police Station,08646 258333,
AP,Guntur,K Pudi Police Station,08649 272233,
AP,Guntur,Kakumanu Police Station,08432 279933,
AP,Guntur,C H Pet Police Station,08647 254908,
AP,Guntur,Karlapalem Police Station,08643 272233,
AP,Guntur,Kollipara Police Station,08644 244233,
AP,Guntur,Kolluru Police Station,08644 243333,
AP,Guntur,Kothapet Police Station,0863 2221815,
AP,Guntur,Battiprole Police Station,08648 248233,
AP,Guntur,Krosuru Police Station,08640 227133,
AP,Guntur,Macherla Tn Police Station,08642 222333,
AP,Guntur,Machvaram Police Station,08649 242233,
AP,Guntur,Mangalagiri Police Station,08645 232333,
AP,Guntur,Medikonduru Police Station,08641 239233,
AP,Guntur,Merin Police Station,,
AP,Guntur,Muppalla Police Station,08641 242433,
AP,Guntur,N Sagar Police Station,08642 278219,
AP,Guntur,Nandendla Police Station,08647 259463,
AP,Guntur,Nagaram Police Station,08648 256733,
AP,Guntur,Nagaram Palem Police Station,0863 2234047,
AP,Guntur,Nakarikal Police Station,08647 241233,
AP,Guntur,Narasarao pet Tq Police Station,08647 222099,
AP,Guntur,M Giri Rural Police Station,08645 232777,
AP,Guntur,Lalapet Police Station,0863 2221261,
AP,Guntur,Macherla Rural Police Station,08642 222233,
AP,Guntur,Old Guntur Police Station,0863 2220006,
AP,Guntur,Nizampatnam Police Station,08648 257633,
AP,Guntur,Pattabhipuram Police Station,0863 2231866,
AP,Guntur,Narasaraoper Urban Police Station,08647 222333,
AP,Guntur,P N Padu Police Station,08432 276733,
AP,Guntur,Pcr Guntur Police Station,0863 2234728,
AP,Guntur,Pedakakani Police Station,0863 2556145,
AP,Guntur,Pedakurapadu Police Station,08640 247533,
AP,Guntur,Phirangipuram Police Station,08641 257233,
AP,Guntur,Piduguralla Police Station,08649 252333,
AP,Guntur,Pnr Rural Police Station,08432 242383,
AP,Guntur,Ponnur Town Police Station,08432 242333,
AP,Guntur,Prathipadu Police Station,0863 2280233,
AP,Guntur,Rajupalem Police Station,08641 238744,
AP,Guntur,Rompicherla Police Station,08647 248233,
AP,Guntur,Savalyapuram Police Station,08646 275355,
AP,Guntur,Rentachintala Police Station,08642 258433,
AP,Guntur,Spl Town Police Station,08641 232333,
AP,Guntur,Tadepalli Police Station,08645 272186,
AP,Guntur,Tadikonda Police Station,08645 256233,
AP,Guntur,Tenali I Town Police Station,08644 228540,
AP,Guntur,Tenali ii Town Police Station,08644 228715,
AP,Guntur,Tenali Iii Town Police Station,08644 228417,
AP,Guntur,Tenali Tq Police Station,08644 226832,
AP,Guntur,Tullur Police Station,08645 244433,
AP,Guntur,Tsody Lem Police Station,08648 278133,
AP,Guntur,Spl Rural Police Station,08641 232033,
AP,Guntur,Tsundar Police Station,08644 276233,
AP,Guntur,Vatticherukuru Police Station,0863 2285233,
AP,Guntur,Vedulla palli Police Station,08643 271133,
AP,Guntur,Vemuru Police Station,08644 246233,
AP,Guntur,Veldurthi Police Station,08642 278633,
AP,Guntur,Repalle Police Station,08648 222333,
AP,Guntur,Vinukonda Police Station,08646 272333,
AP,Guntur,Woman S I Police Station,0863 2250633,
AP,Guntur,Yedlapadu Police Station,08647 276633,
AP,Prakasam,Ardaveedu Police Station,"08596 235233, 9440627108",
AP,Prakasam,Ballikuruva Police Station,"08404 274233, 9440627159",
AP,Prakasam,B V Peta Police Station,"08596 235233, 9440627108",
AP,Prakasam,Addanki Police Station,"08593 223333, 9440627157",
AP,Prakasam,C C S Police Station,"08404 274233, 9440627159",
AP,Prakasam,Chinaganjam Police Station,"08594 241233, 9440627111",
AP,Prakasam,Chimakurthy Police Station,"08490 249233, 9440627831",
AP,Prakasam,Chandrashekarapuram Police Station,"08490 249233, 9440627831",
AP,Prakasam,Chrala Ii Town Police Station,"08594 232333, 9440627139",
AP,Prakasam,Chirala Rural Police Station,"08594 232532, 9440627141",
AP,Prakasam,Cumbum Police Station,08406 232433,
AP,Prakasam,Darsi Police Station,"08407 253233, 9440627155",
AP,Prakasam,Donakonda Police Station,"08408 272033, 9440627116",
AP,Prakasam,Dornala Police Station,08596 227233,
AP,Prakasam,Giddalur Police Station,08405 242033,
AP,Prakasam,Gudlur Police Station,"08599 252233, 9440627835",
AP,Prakasam,H Mpadu Police Station,"08402 273633, 9440627154",
AP,Prakasam,Inkollu Police Station,"08594 244233, 9440627174",
AP,Prakasam,J Panguluru Police Station,"08593 257066, 9440627146",
AP,Prakasam,Jarugumalli Police Station,"08592 242190, 9440627132",
AP,Prakasam,K K Mitala Police Station,"08499 245033, 9440627833",
AP,Prakasam,Kandukur Police Station,"08598 223252, 9440627148",
AP,Prakasam,Kandukur Rural Police Station,"08598 223508, 9440627151",
AP,Prakasam,Chirala I Town Police Station,"08594 232333, 9440627139",
AP,Prakasam,Kandukur Town Police Station,"08598 223533, 9440627150",
AP,Prakasam,Kanigiri Police Station,"08598 223533, 9440627150",
AP,Prakasam,Karamchedu Police Station,"08598 223533, 9440627150",
AP,Prakasam,Komarole Police Station,"08405 248033, 9440627385",
